"   ";"DT_MVTO_ESTOQUE";"QUANTIDADE"
"1";"25/10/2025";"40"
"2";"12/06/2025";"10"
"3";"15/05/2025";"40"
"4";"13/05/2025";"20"
"5";"17/10/2024";"20"
"6";"15/10/2024";"60"
"7";"03/10/2024";"40"
"8";"18/03/2024";"20"
"9";"20/12/2023";"60"
"10";"06/11/2023";"100"
"11";"30/10/2023";"50"
"12";"02/10/2023";"40"
"13";"27/09/2023";"100"
"14";"26/07/2023";"60"
"15";"29/05/2023";"6"
"16";"07/05/2023";"50"
"17";"19/04/2023";"60"
"18";"12/04/2023";"20"
"19";"07/12/2025";"60"
"20";"15/11/2025";"20"
"21";"08/11/2025";"50"
"22";"01/08/2025";"120"
"23";"01/07/2025";"50"
"24";"24/06/2025";"80"
"25";"15/04/2025";"40"
"26";"14/03/2025";"51"
"27";"25/02/2025";"100"
"28";"28/01/2025";"60"
"29";"20/02/2024";"100"
"30";"23/10/2023";"25"
"31";"05/06/2023";"20"
"32";"07/02/2023";"50"
"33";"19/10/2025";"30"
"34";"22/09/2025";"20"
"35";"29/07/2025";"60"
"36";"02/06/2025";"20"
"37";"06/05/2025";"60"
"38";"12/11/2024";"60"
"39";"10/09/2024";"20"
"40";"11/07/2024";"60"
"41";"03/07/2024";"10"
"42";"21/05/2024";"70"
"43";"19/05/2024";"40"
"44";"21/09/2023";"60"
"45";"01/08/2023";"60"
"46";"08/05/2023";"100"
"47";"08/04/2023";"40"
"48";"03/03/2023";"25"
"49";"14/11/2025";"20"
"50";"20/10/2025";"40"
"51";"28/07/2025";"50"
"52";"09/07/2025";"20"
"53";"26/06/2025";"10"
"54";"04/02/2025";"60"
"55";"11/12/2024";"20"
"56";"02/12/2024";"20"
"57";"23/10/2024";"20"
"58";"22/10/2024";"20"
"59";"05/08/2024";"40"
"60";"14/05/2024";"10"
"61";"09/04/2024";"40"
"62";"27/11/2023";"60"
"63";"06/09/2023";"100"
"64";"09/08/2023";"100"
"65";"19/07/2023";"100"
"66";"11/07/2023";"60"
"67";"01/06/2023";"100"
"68";"13/04/2023";"20"
"69";"04/04/2023";"60"
"70";"28/03/2023";"50"
"71";"17/01/2023";"30"
"72";"29/11/2025";"40"
"73";"22/11/2025";"20"
"74";"16/11/2025";"200"
"75";"25/09/2025";"200"
"76";"19/09/2025";"40"
"77";"13/06/2025";"100"
"78";"17/12/2024";"100"
"79";"24/09/2024";"20"
"80";"15/08/2024";"10"
"81";"07/05/2024";"10"
"82";"27/03/2024";"60"
"83";"16/10/2023";"100"
"84";"20/06/2023";"60"
"85";"16/05/2023";"30"
"86";"02/11/2025";"60"
"87";"30/07/2025";"60"
"88";"31/01/2025";"60"
"89";"09/07/2024";"50"
"90";"16/04/2024";"20"
"91";"20/03/2024";"80"
"92";"18/04/2023";"100"
"93";"21/03/2023";"20"
"94";"14/03/2023";"20"
"95";"07/03/2023";"50"
"96";"15/02/2023";"30"
"97";"29/10/2025";"40"
"98";"26/10/2025";"20"
"99";"12/10/2025";"40"
"100";"10/10/2025";"40"
"101";"23/07/2025";"40"
"102";"07/07/2025";"10"
"103";"23/06/2025";"20"
"104";"16/06/2025";"10"
"105";"20/05/2025";"140"
"106";"29/04/2025";"40"
"107";"18/03/2025";"60"
"108";"26/02/2025";"50"
"109";"12/12/2024";"60"
"110";"22/04/2024";"50"
"111";"08/04/2024";"20"
"112";"17/03/2024";"25"
"113";"17/01/2024";"100"
"114";"02/01/2024";"120"
"115";"29/08/2023";"20"
"116";"16/08/2023";"60"
"117";"31/01/2023";"50"
"118";"24/01/2023";"20"
"119";"03/08/2025";"30"
"120";"24/07/2025";"40"
"121";"22/07/2025";"40"
"122";"18/06/2025";"10"
"123";"03/06/2025";"80"
"124";"10/04/2025";"40"
"125";"18/02/2025";"40"
"126";"28/10/2024";"20"
"127";"08/10/2024";"40"
"128";"13/08/2024";"60"
"129";"31/07/2024";"20"
"130";"28/05/2024";"90"
"131";"13/05/2024";"90"
"132";"04/04/2024";"40"
"133";"28/02/2023";"50"
"134";"03/01/2023";"50"
