"   ";"DT_MVTO_ESTOQUE";"QUANTIDADE"
"1";"07/11/2025";"60"
"2";"22/10/2025";"24"
"3";"16/10/2025";"36"
"4";"15/10/2025";"72"
"5";"13/10/2025";"24"
"6";"30/09/2025";"48"
"7";"25/09/2025";"36"
"8";"12/08/2025";"36"
"9";"31/07/2025";"36"
"10";"25/07/2025";"24"
"11";"09/07/2025";"24"
"12";"13/06/2025";"48"
"13";"12/06/2025";"24"
"14";"03/06/2025";"48"
"15";"27/05/2025";"36"
"16";"23/05/2025";"24"
"17";"19/05/2025";"24"
"18";"14/05/2025";"36"
"19";"13/05/2025";"24"
"20";"20/03/2025";"24"
"21";"11/03/2025";"12"
"22";"26/02/2025";"12"
"23";"21/02/2025";"24"
"24";"27/01/2025";"48"
"25";"03/01/2025";"36"
"26";"27/12/2024";"24"
"27";"27/11/2024";"36"
"28";"21/11/2024";"60"
"29";"08/11/2024";"24"
"30";"31/10/2024";"24"
"31";"25/10/2024";"12"
"32";"14/10/2024";"60"
"33";"11/10/2024";"12"
"34";"01/10/2024";"24"
"35";"19/09/2024";"48"
"36";"04/09/2024";"60"
"37";"27/08/2024";"60"
"38";"26/08/2024";"24"
"39";"16/08/2024";"36"
"40";"02/08/2024";"24"
"41";"13/07/2024";"48"
"42";"27/06/2024";"36"
"43";"29/05/2024";"12"
"44";"28/05/2024";"24"
"45";"27/05/2024";"12"
"46";"16/05/2024";"24"
"47";"30/04/2024";"60"
"48";"24/04/2024";"24"
"49";"05/04/2024";"36"
"50";"03/04/2024";"48"
"51";"20/03/2024";"72"
"52";"19/03/2024";"36"
"53";"14/03/2024";"24"
"54";"08/03/2024";"24"
"55";"18/02/2024";"72"
"56";"06/02/2024";"36"
"57";"13/12/2023";"24"
"58";"05/12/2023";"48"
"59";"14/11/2023";"84"
"60";"05/10/2023";"36"
"61";"13/09/2023";"84"
"62";"11/09/2023";"60"
"63";"23/08/2023";"24"
"64";"27/07/2023";"24"
"65";"29/05/2023";"96"
"66";"23/05/2023";"96"
"67";"12/05/2023";"96"
"68";"24/04/2023";"48"
"69";"10/04/2023";"48"
"70";"06/04/2023";"48"
"71";"27/03/2023";"36"
"72";"09/03/2023";"24"
"73";"07/03/2023";"12"
"74";"10/02/2023";"36"
"75";"27/01/2023";"24"
"76";"18/01/2023";"24"
"77";"18/11/2025";"60"
"78";"14/11/2025";"48"
"79";"04/11/2025";"60"
"80";"02/10/2025";"36"
"81";"29/09/2025";"24"
"82";"24/09/2025";"72"
"83";"08/09/2025";"60"
"84";"29/08/2025";"36"
"85";"19/08/2025";"36"
"86";"18/08/2025";"36"
"87";"15/08/2025";"12"
"88";"13/08/2025";"24"
"89";"09/08/2025";"24"
"90";"05/08/2025";"24"
"91";"23/07/2025";"12"
"92";"21/07/2025";"60"
"93";"15/07/2025";"48"
"94";"04/07/2025";"36"
"95";"27/06/2025";"36"
"96";"25/06/2025";"36"
"97";"11/06/2025";"72"
"98";"28/04/2025";"24"
"99";"15/04/2025";"12"
"100";"10/04/2025";"12"
"101";"03/04/2025";"12"
"102";"28/03/2025";"12"
"103";"27/03/2025";"36"
"104";"06/03/2025";"60"
"105";"18/02/2025";"48"
"106";"10/02/2025";"36"
"107";"17/01/2025";"24"
"108";"16/01/2025";"36"
"109";"14/01/2025";"36"
