"   ";"DT_MVTO_ESTOQUE";"QUANTIDADE"
"1";"10/10/2025";"100"
"2";"21/09/2025";"150"
"3";"02/08/2025";"50"
"4";"16/07/2025";"150"
"5";"26/10/2025";"100"
"6";"10/08/2025";"150"
"7";"30/06/2025";"50"
"8";"09/04/2025";"100"
"9";"07/02/2025";"100"
"10";"08/01/2025";"200"
"11";"07/01/2025";"200"
"12";"14/10/2024";"150"
"13";"17/06/2024";"150"
"14";"04/06/2024";"100"
"15";"13/12/2023";"100"
"16";"27/11/2023";"100"
"17";"05/05/2023";"100"
"18";"15/03/2023";"100"
"19";"05/03/2023";"100"
"20";"01/07/2025";"200"
"21";"24/06/2025";"200"
"22";"25/02/2025";"250"
"23";"10/02/2025";"100"
"24";"04/02/2025";"250"
"25";"29/01/2025";"200"
"26";"16/10/2024";"100"
"27";"18/09/2024";"50"
"28";"28/08/2024";"50"
"29";"15/08/2024";"50"
"30";"10/07/2024";"50"
"31";"19/06/2024";"50"
"32";"05/06/2024";"100"
"33";"17/01/2024";"250"
"34";"10/01/2024";"100"
"35";"18/12/2023";"100"
"36";"13/09/2023";"150"
"37";"16/08/2023";"100"
"38";"19/07/2023";"150"
"39";"31/05/2023";"200"
"40";"27/04/2023";"50"
"41";"16/03/2023";"100"
"42";"09/03/2023";"100"
"43";"10/01/2023";"150"
"44";"09/01/2023";"50"
"45";"11/10/2025";"200"
"46";"27/09/2025";"50"
"47";"23/08/2025";"50"
"48";"03/12/2025";"150"
"49";"07/12/2025";"200"
"50";"19/10/2025";"300"
"51";"08/11/2024";"200"
"52";"16/09/2024";"100"
"53";"05/09/2024";"50"
"54";"05/08/2024";"350"
"55";"29/04/2024";"50"
"56";"28/03/2024";"200"
"57";"09/10/2023";"100"
"58";"08/08/2023";"50"
"59";"17/07/2023";"100"
"60";"18/04/2023";"100"
"61";"18/03/2023";"200"
"62";"07/07/2025";"100"
"63";"20/02/2025";"150"
"64";"15/10/2024";"100"
"65";"02/10/2024";"50"
"66";"01/10/2024";"100"
"67";"19/09/2024";"50"
"68";"10/09/2024";"50"
"69";"29/08/2024";"100"
"70";"11/07/2024";"50"
"71";"03/07/2024";"400"
"72";"27/06/2024";"100"
"73";"18/06/2024";"100"
"74";"07/05/2024";"200"
"75";"30/04/2024";"50"
"76";"08/04/2024";"50"
"77";"16/02/2024";"100"
"78";"06/09/2023";"100"
"79";"29/08/2023";"100"
"80";"10/08/2023";"100"
"81";"26/07/2023";"100"
"82";"24/05/2023";"100"
"83";"08/02/2023";"100"
"84";"30/11/2025";"150"
"85";"01/11/2025";"200"
"86";"25/10/2025";"100"
"87";"07/09/2025";"100"
"88";"28/07/2025";"100"
"89";"23/07/2025";"150"
"90";"13/11/2024";"50"
"91";"08/08/2024";"50"
"92";"22/04/2024";"150"
"93";"04/04/2024";"300"
"94";"05/02/2024";"200"
"95";"14/07/2023";"100"
"96";"21/06/2023";"150"
"97";"06/05/2023";"100"
"98";"27/02/2023";"100"
"99";"18/01/2023";"100"
"100";"18/03/2025";"350"
"101";"21/10/2024";"100"
"102";"25/09/2024";"50"
"103";"17/09/2024";"150"
"104";"07/08/2024";"200"
"105";"13/06/2024";"50"
"106";"21/05/2024";"200"
"107";"18/04/2024";"300"
"108";"11/04/2024";"150"
"109";"20/02/2024";"150"
"110";"06/02/2024";"50"
"111";"16/01/2024";"100"
"112";"13/11/2023";"100"
"113";"09/08/2023";"200"
"114";"02/08/2023";"100"
"115";"27/07/2023";"100"
"116";"12/07/2023";"150"
"117";"13/02/2023";"50"
"118";"20/09/2025";"50"
"119";"13/09/2025";"150"
"120";"16/08/2025";"50"
"121";"20/10/2025";"200"
"122";"12/10/2025";"150"
"123";"29/07/2025";"150"
"124";"08/04/2025";"250"
"125";"10/03/2025";"100"
"126";"27/02/2025";"100"
"127";"11/02/2025";"100"
"128";"03/02/2025";"100"
"129";"17/01/2025";"100"
"130";"25/07/2024";"100"
"131";"17/07/2024";"100"
"132";"13/03/2024";"1000"
"133";"03/03/2024";"100"
"134";"24/11/2023";"200"
"135";"11/10/2023";"100"
"136";"05/07/2023";"50"
"137";"23/06/2023";"100"
"138";"07/06/2023";"300"
"139";"06/04/2023";"100"
"140";"16/06/2025";"50"
"141";"20/05/2025";"300"
"142";"28/01/2025";"100"
"143";"17/12/2024";"100"
"144";"17/10/2024";"150"
"145";"11/09/2024";"50"
"146";"12/06/2024";"100"
"147";"26/02/2024";"300"
"148";"19/02/2024";"50"
"149";"05/09/2023";"50"
"150";"24/08/2023";"100"
"151";"15/08/2023";"50"
"152";"29/05/2023";"50"
"153";"28/03/2023";"100"
"154";"23/11/2025";"200"
"155";"08/11/2025";"200"
"156";"03/08/2025";"200"
"157";"22/07/2025";"50"
"158";"11/07/2025";"50"
"159";"25/06/2025";"100"
"160";"05/06/2025";"100"
"161";"04/06/2025";"50"
"162";"28/05/2025";"200"
"163";"25/03/2025";"200"
"164";"27/11/2024";"150"
"165";"23/07/2024";"100"
"166";"25/06/2024";"150"
"167";"11/06/2024";"50"
"168";"22/05/2024";"200"
"169";"19/12/2023";"200"
"170";"18/10/2023";"100"
"171";"13/10/2023";"1"
"172";"28/08/2023";"100"
"173";"23/08/2023";"101"
"174";"11/08/2023";"50"
"175";"12/04/2023";"200"
"176";"29/03/2023";"200"
"177";"02/03/2023";"150"
"178";"22/02/2023";"50"
"179";"09/07/2025";"50"
"180";"19/03/2025";"150"
"181";"17/03/2025";"100"
"182";"20/01/2025";"100"
"183";"02/12/2024";"300"
"184";"02/09/2024";"50"
"185";"24/06/2024";"100"
"186";"15/05/2024";"100"
"187";"06/05/2024";"100"
"188";"28/02/2024";"200"
"189";"06/11/2023";"300"
"190";"12/09/2023";"100"
"191";"30/08/2023";"100"
"192";"12/05/2023";"100"
"193";"08/05/2023";"50"
"194";"17/01/2023";"250"
"195";"11/01/2023";"50"
"196";"09/11/2025";"200"
"197";"05/12/2025";"100"
"198";"30/08/2025";"50"
"199";"15/07/2025";"250"
"200";"07/05/2025";"100"
"201";"26/11/2024";"100"
"202";"30/09/2024";"100"
"203";"23/09/2024";"250"
"204";"15/04/2024";"50"
"205";"17/02/2024";"100"
"206";"22/08/2023";"50"
"207";"28/06/2023";"50"
"208";"03/06/2023";"100"
"209";"18/05/2023";"300"
"210";"11/04/2023";"50"
"211";"13/03/2023";"100"
"212";"23/06/2025";"50"
"213";"18/06/2025";"150"
"214";"26/05/2025";"50"
"215";"26/03/2025";"50"
"216";"26/02/2025";"200"
"217";"04/09/2024";"50"
"218";"20/08/2024";"50"
"219";"14/08/2024";"100"
"220";"02/07/2024";"150"
"221";"28/05/2024";"250"
"222";"30/10/2023";"49"
"223";"19/09/2023";"99"
"224";"17/08/2023";"100"
"225";"20/07/2023";"100"
"226";"01/06/2023";"50"
"227";"16/05/2023";"100"
"228";"14/02/2023";"100"
"229";"04/01/2023";"100"
"230";"17/10/2025";"50"
"231";"04/10/2025";"100"
"232";"14/09/2025";"50"
"233";"09/08/2025";"50"
"234";"21/07/2025";"150"
"235";"17/06/2025";"100"
"236";"27/05/2025";"350"
"237";"19/05/2025";"300"
"238";"14/05/2025";"50"
"239";"02/04/2025";"200"
"240";"18/12/2024";"100"
"241";"05/12/2024";"100"
"242";"19/11/2024";"200"
"243";"04/11/2024";"200"
"244";"19/08/2024";"50"
"245";"16/06/2024";"100"
"246";"04/01/2024";"100"
"247";"27/09/2023";"350"
"248";"07/07/2023";"100"
"249";"13/04/2023";"50"
"250";"10/04/2023";"150"
"251";"16/01/2023";"50"
"252";"08/07/2025";"200"
"253";"16/04/2025";"100"
"254";"14/03/2025";"100"
"255";"12/03/2025";"200"
"256";"03/01/2025";"50"
"257";"23/12/2024";"100"
"258";"09/10/2024";"100"
"259";"08/10/2024";"150"
"260";"07/10/2024";"150"
"261";"03/10/2024";"50"
"262";"12/09/2024";"150"
"263";"22/07/2024";"100"
"264";"09/07/2024";"100"
"265";"26/06/2024";"100"
"266";"15/03/2024";"200"
"267";"20/12/2023";"150"
"268";"08/11/2023";"200"
"269";"03/07/2023";"50"
"270";"19/04/2023";"250"
"271";"22/03/2023";"100"
"272";"21/02/2023";"200"
"273";"06/02/2023";"50"
"274";"01/02/2023";"100"
"275";"23/01/2023";"50"
"276";"15/11/2025";"100"
"277";"28/09/2025";"150"
"278";"30/07/2025";"150"
"279";"29/11/2025";"50"
"280";"02/11/2025";"300"
"281";"06/09/2025";"100"
"282";"14/07/2025";"180"
"283";"10/07/2025";"50"
"284";"02/07/2025";"150"
"285";"30/04/2025";"600"
"286";"24/02/2025";"50"
"287";"30/12/2024";"300"
"288";"03/09/2024";"100"
"289";"01/08/2024";"350"
"290";"21/03/2024";"200"
"291";"04/10/2023";"150"
"292";"01/08/2023";"100"
"293";"27/06/2023";"150"
"294";"11/05/2023";"100"
"295";"02/05/2023";"250"
"296";"05/04/2023";"50"
"297";"31/03/2023";"200"
"298";"12/02/2023";"50"
"299";"07/02/2023";"100"
"300";"09/06/2025";"50"
"301";"11/03/2025";"100"
"302";"12/02/2025";"50"
"303";"05/02/2025";"100"
"304";"24/09/2024";"100"
"305";"13/08/2024";"100"
"306";"08/07/2024";"50"
"307";"08/05/2024";"100"
"308";"11/01/2024";"150"
"309";"23/10/2023";"100"
"310";"02/10/2023";"350"
"311";"27/03/2023";"100"
"312";"20/03/2023";"100"
"313";"14/03/2023";"50"
"314";"01/03/2023";"100"
"315";"15/02/2023";"100"
"316";"25/01/2023";"50"
