"   ";"DT_MVTO_ESTOQUE";"QUANTIDADE"
"1";"09/12/2025";"201"
"2";"04/12/2025";"3"
"3";"03/11/2025";"100"
"4";"29/10/2025";"160"
"5";"17/10/2025";"260"
"6";"13/10/2025";"40"
"7";"07/10/2025";"240"
"8";"01/10/2025";"180"
"9";"23/09/2025";"180"
"10";"26/08/2025";"140"
"11";"21/10/2025";"150"
"12";"07/08/2025";"192"
"13";"30/07/2025";"80"
"14";"24/07/2025";"70"
"15";"15/07/2025";"180"
"16";"08/07/2025";"30"
"17";"12/06/2025";"80"
"18";"21/05/2025";"210"
"19";"30/04/2025";"162"
"20";"09/08/2025";"20"
"21";"05/08/2025";"216"
"22";"30/06/2025";"120"
"23";"04/04/2025";"180"
"24";"12/02/2025";"140"
"25";"06/01/2025";"220"
"26";"12/12/2024";"100"
"27";"11/12/2024";"150"
"28";"05/12/2024";"140"
"29";"04/12/2024";"220"
"30";"02/12/2024";"160"
"31";"24/04/2025";"152"
"32";"19/12/2024";"90"
"33";"16/12/2024";"190"
"34";"15/10/2024";"144"
"35";"14/10/2024";"240"
"36";"27/08/2024";"96"
"37";"26/08/2024";"144"
"38";"25/10/2024";"140"
"39";"18/09/2024";"90"
"40";"09/07/2024";"120"
"41";"03/07/2024";"180"
"42";"27/06/2024";"110"
"43";"19/06/2024";"120"
"44";"18/06/2024";"150"
"45";"11/06/2024";"110"
"46";"28/05/2024";"120"
"47";"16/05/2024";"140"
"48";"13/05/2024";"160"
"49";"10/05/2024";"140"
"50";"19/04/2024";"240"
"51";"19/03/2024";"140"
"52";"11/03/2024";"200"
"53";"08/03/2024";"160"
"54";"30/04/2024";"80"
"55";"12/03/2024";"60"
"56";"27/02/2024";"90"
"57";"21/02/2024";"120"
"58";"01/02/2024";"90"
"59";"06/04/2023";"110"
"60";"28/03/2023";"120"
"61";"16/03/2023";"160"
"62";"27/02/2023";"80"
"63";"24/02/2023";"220"
"64";"27/01/2023";"160"
"65";"10/05/2023";"160"
"66";"24/03/2023";"140"
"67";"10/03/2023";"240"
"68";"17/01/2023";"80"
"69";"02/12/2025";"340"
"70";"24/11/2025";"240"
"71";"21/11/2025";"360"
"72";"06/11/2025";"140"
"73";"24/09/2025";"120"
"74";"09/09/2025";"120"
"75";"29/07/2025";"140"
"76";"16/07/2025";"150"
"77";"11/07/2025";"240"
"78";"07/07/2025";"110"
"79";"27/06/2025";"260"
"80";"24/06/2025";"300"
"81";"23/06/2025";"90"
"82";"18/06/2025";"280"
"83";"13/06/2025";"150"
"84";"09/06/2025";"260"
"85";"06/06/2025";"270"
"86";"04/06/2025";"70"
"87";"02/06/2025";"180"
"88";"26/05/2025";"140"
"89";"19/05/2025";"220"
"90";"15/05/2025";"150"
"91";"14/05/2025";"150"
"92";"13/05/2025";"300"
"93";"08/05/2025";"60"
"94";"30/05/2025";"200"
"95";"17/04/2025";"300"
"96";"25/02/2025";"140"
"97";"19/02/2025";"120"
"98";"11/02/2025";"140"
"99";"07/02/2025";"200"
"100";"20/01/2025";"220"
"101";"29/11/2024";"100"
"102";"28/11/2024";"140"
"103";"28/04/2025";"192"
"104";"07/04/2025";"140"
"105";"08/01/2025";"60"
"106";"05/11/2024";"120"
"107";"18/10/2024";"140"
"108";"17/10/2024";"180"
"109";"04/10/2024";"120"
"110";"26/09/2024";"120"
"111";"25/09/2024";"120"
"112";"23/09/2024";"210"
"113";"03/09/2024";"140"
"114";"28/08/2024";"48"
"115";"22/08/2024";"80"
"116";"19/08/2024";"290"
"117";"31/07/2024";"140"
"118";"30/07/2024";"320"
"119";"07/08/2024";"170"
"120";"10/07/2024";"100"
"121";"07/06/2024";"200"
"122";"14/05/2024";"60"
"123";"16/04/2024";"120"
"124";"10/04/2024";"120"
"125";"03/04/2024";"110"
"126";"26/03/2024";"60"
"127";"20/02/2024";"120"
"128";"09/02/2024";"240"
"129";"07/02/2024";"60"
"130";"05/01/2024";"220"
"131";"02/05/2023";"90"
"132";"04/04/2023";"90"
"133";"23/03/2023";"80"
"134";"22/03/2023";"60"
"135";"21/03/2023";"80"
"136";"07/03/2023";"120"
"137";"03/03/2023";"160"
"138";"03/02/2023";"120"
"139";"20/01/2023";"90"
"140";"17/01/2024";"60"
"141";"08/01/2024";"40"
"142";"25/09/2023";"20"
"143";"17/05/2023";"90"
"144";"09/05/2023";"60"
"145";"25/04/2023";"60"
"146";"17/04/2023";"100"
"147";"17/03/2023";"140"
"148";"10/01/2023";"60"
"149";"06/01/2023";"160"
"150";"25/11/2025";"60"
"151";"19/11/2025";"140"
"152";"12/11/2025";"200"
"153";"27/10/2025";"180"
"154";"20/10/2025";"280"
"155";"14/10/2025";"240"
"156";"09/10/2025";"210"
"157";"02/10/2025";"180"
"158";"11/09/2025";"90"
"159";"10/09/2025";"60"
"160";"05/09/2025";"220"
"161";"22/08/2025";"140"
"162";"10/10/2025";"280"
"163";"04/08/2025";"184"
"164";"23/07/2025";"120"
"165";"20/06/2025";"300"
"166";"29/05/2025";"150"
"167";"22/05/2025";"180"
"168";"20/05/2025";"180"
"169";"12/05/2025";"30"
"170";"07/05/2025";"150"
"171";"05/05/2025";"360"
"172";"02/05/2025";"270"
"173";"11/04/2025";"200"
"174";"09/04/2025";"120"
"175";"27/03/2025";"80"
"176";"18/03/2025";"100"
"177";"12/03/2025";"60"
"178";"27/02/2025";"200"
"179";"18/02/2025";"140"
"180";"13/02/2025";"140"
"181";"27/01/2025";"220"
"182";"21/01/2025";"120"
"183";"10/01/2025";"140"
"184";"02/01/2025";"140"
"185";"26/12/2024";"168"
"186";"20/12/2024";"60"
"187";"13/12/2024";"180"
"188";"09/12/2024";"160"
"189";"25/11/2024";"260"
"190";"08/04/2025";"120"
"191";"02/04/2025";"180"
"192";"24/03/2025";"210"
"193";"19/03/2025";"160"
"194";"16/01/2025";"160"
"195";"13/11/2024";"120"
"196";"07/11/2024";"140"
"197";"23/10/2024";"100"
"198";"02/10/2024";"60"
"199";"24/09/2024";"120"
"200";"16/09/2024";"210"
"201";"12/09/2024";"120"
"202";"16/08/2024";"104"
"203";"14/08/2024";"120"
"204";"12/08/2024";"144"
"205";"25/07/2024";"60"
"206";"24/07/2024";"120"
"207";"18/07/2024";"60"
"208";"17/07/2024";"110"
"209";"11/10/2024";"80"
"210";"30/09/2024";"200"
"211";"17/09/2024";"90"
"212";"13/06/2024";"80"
"213";"10/06/2024";"270"
"214";"27/05/2024";"270"
"215";"22/05/2024";"110"
"216";"21/05/2024";"120"
"217";"20/05/2024";"150"
"218";"15/05/2024";"80"
"219";"07/05/2024";"140"
"220";"06/05/2024";"250"
"221";"25/04/2024";"160"
"222";"17/04/2024";"200"
"223";"15/04/2024";"180"
"224";"07/03/2024";"101"
"225";"04/04/2024";"60"
"226";"13/03/2024";"180"
"227";"05/03/2024";"100"
"228";"26/02/2024";"180"
"229";"09/01/2024";"140"
"230";"08/05/2023";"130"
"231";"04/05/2023";"120"
"232";"12/04/2023";"80"
"233";"11/04/2023";"100"
"234";"08/03/2023";"80"
"235";"16/02/2023";"120"
"236";"08/02/2023";"140"
"237";"06/02/2023";"80"
"238";"25/01/2023";"50"
"239";"02/02/2024";"270"
"240";"16/05/2023";"30"
"241";"13/04/2023";"100"
"242";"31/03/2023";"180"
"243";"05/12/2025";"280"
"244";"23/11/2025";"60"
"245";"17/11/2025";"120"
"246";"10/11/2025";"140"
"247";"30/10/2025";"140"
"248";"16/10/2025";"90"
"249";"18/09/2025";"210"
"250";"16/09/2025";"90"
"251";"08/09/2025";"160"
"252";"31/10/2025";"260"
"253";"18/08/2025";"200"
"254";"08/08/2025";"384"
"255";"25/07/2025";"200"
"256";"10/07/2025";"180"
"257";"25/06/2025";"170"
"258";"17/06/2025";"120"
"259";"01/08/2025";"240"
"260";"24/02/2025";"320"
"261";"23/01/2025";"120"
"262";"10/12/2024";"200"
"263";"27/11/2024";"160"
"264";"06/11/2024";"140"
"265";"07/10/2024";"210"
"266";"05/09/2024";"80"
"267";"12/07/2024";"180"
"268";"12/11/2024";"150"
"269";"20/06/2024";"120"
"270";"12/06/2024";"120"
"271";"04/06/2024";"140"
"272";"25/05/2024";"30"
"273";"02/05/2024";"150"
"274";"26/04/2024";"180"
"275";"27/03/2024";"160"
"276";"25/03/2024";"220"
"277";"20/03/2024";"60"
"278";"18/03/2024";"178"
"279";"17/05/2024";"200"
"280";"15/03/2024";"190"
"281";"16/02/2024";"240"
"282";"30/01/2024";"90"
"283";"10/01/2024";"80"
"284";"15/05/2023";"120"
"285";"30/03/2023";"120"
"286";"23/02/2023";"90"
"287";"07/02/2023";"120"
"288";"19/01/2023";"150"
"289";"13/01/2023";"120"
"290";"12/01/2023";"80"
"291";"24/04/2023";"210"
"292";"30/01/2023";"20"
"293";"04/01/2023";"40"
"294";"27/11/2025";"240"
"295";"11/11/2025";"100"
"296";"07/11/2025";"280"
"297";"26/09/2025";"200"
"298";"01/09/2025";"80"
