"   ";"DT_MVTO_ESTOQUE";"QUANTIDADE"
"1";"21/01/2023";"60"
"2";"03/02/2023";"60"
"3";"08/03/2023";"30"
"4";"10/08/2023";"60"
"5";"19/09/2023";"30"
"6";"19/11/2023";"60"
"7";"13/12/2023";"120"
"8";"19/12/2023";"120"
"9";"03/02/2024";"60"
"10";"26/02/2024";"60"
"11";"28/03/2024";"60"
"12";"03/07/2024";"90"
"13";"02/09/2024";"60"
"14";"03/09/2024";"180"
"15";"20/03/2025";"120"
"16";"19/10/2025";"120"
"17";"15/11/2025";"60"
"18";"24/01/2023";"60"
"19";"07/02/2023";"60"
"20";"27/02/2023";"30"
"21";"10/03/2023";"120"
"22";"17/03/2023";"120"
"23";"19/04/2023";"120"
"24";"01/06/2023";"60"
"25";"07/06/2023";"60"
"26";"11/07/2023";"30"
"27";"01/08/2023";"30"
"28";"29/08/2023";"120"
"29";"12/09/2023";"120"
"30";"02/10/2023";"120"
"31";"09/10/2023";"150"
"32";"23/11/2023";"120"
"33";"27/11/2023";"180"
"34";"21/12/2023";"60"
"35";"01/02/2024";"60"
"36";"27/02/2024";"60"
"37";"08/05/2024";"60"
"38";"18/06/2024";"60"
"39";"27/06/2024";"60"
"40";"01/07/2024";"30"
"41";"31/07/2024";"60"
"42";"10/10/2024";"60"
"43";"15/10/2024";"60"
"44";"28/10/2024";"60"
"45";"14/11/2024";"120"
"46";"28/11/2024";"30"
"47";"07/01/2025";"30"
"48";"23/01/2025";"60"
"49";"29/04/2025";"120"
"50";"15/05/2025";"60"
"51";"02/06/2025";"60"
"52";"29/07/2025";"60"
"53";"17/08/2025";"120"
"54";"28/09/2025";"60"
"55";"08/11/2025";"60"
"56";"12/03/2023";"90"
"57";"02/06/2023";"120"
"58";"14/06/2023";"30"
"59";"22/06/2023";"180"
"60";"19/07/2023";"150"
"61";"15/08/2023";"90"
"62";"17/08/2023";"60"
"63";"16/10/2023";"210"
"64";"04/11/2023";"60"
"65";"13/11/2023";"120"
"66";"05/12/2023";"60"
"67";"30/04/2024";"240"
"68";"04/06/2024";"180"
"69";"02/07/2024";"90"
"70";"25/07/2024";"60"
"71";"29/08/2024";"60"
"72";"17/10/2024";"60"
"73";"19/11/2024";"60"
"74";"21/11/2024";"60"
"75";"16/12/2024";"30"
"76";"09/01/2025";"30"
"77";"28/01/2025";"150"
"78";"13/03/2025";"60"
"79";"27/03/2025";"240"
"80";"05/06/2025";"60"
"81";"17/06/2025";"120"
"82";"30/06/2025";"60"
"83";"22/07/2025";"120"
"84";"12/10/2025";"60"
"85";"14/02/2023";"120"
"86";"28/02/2023";"30"
"87";"04/04/2023";"30"
"88";"08/05/2023";"60"
"89";"16/06/2023";"30"
"90";"27/09/2023";"60"
"91";"11/10/2023";"60"
"92";"19/10/2023";"60"
"93";"24/01/2024";"120"
"94";"09/04/2024";"120"
"95";"10/07/2024";"60"
"96";"29/10/2024";"120"
"97";"26/11/2024";"60"
"98";"08/01/2025";"30"
"99";"21/01/2025";"90"
"100";"03/04/2025";"180"
"101";"07/05/2025";"60"
"102";"22/05/2025";"120"
"103";"02/07/2025";"60"
"104";"16/07/2025";"60"
"105";"23/07/2025";"120"
"106";"10/08/2025";"120"
"107";"07/09/2025";"120"
"108";"02/11/2025";"120"
"109";"21/03/2023";"90"
"110";"18/04/2023";"60"
"111";"16/05/2023";"60"
"112";"29/05/2023";"60"
"113";"18/06/2023";"30"
"114";"14/07/2023";"60"
"115";"06/11/2023";"180"
"116";"05/03/2024";"60"
"117";"01/04/2024";"60"
"118";"05/04/2024";"60"
"119";"07/05/2024";"120"
"120";"25/06/2024";"30"
"121";"09/07/2024";"60"
