"   ";"DT_MVTO_ESTOQUE";"QUANTIDADE"
"1";"11/03/2024";"100"
"2";"20/10/2025";"100"
"3";"21/09/2025";"50"
"4";"21/07/2025";"100"
"5";"22/07/2025";"100"
"6";"21/01/2023";"15"
"7";"14/09/2025";"50"
"8";"18/10/2023";"100"
"9";"09/12/2024";"50"
"10";"11/02/2025";"50"
"11";"17/01/2025";"50"
"12";"22/07/2024";"50"
"13";"18/06/2023";"90"
"14";"20/09/2025";"50"
"15";"09/02/2023";"50"
"16";"10/01/2024";"20"
"17";"06/11/2024";"50"
"18";"21/06/2024";"50"
"19";"05/12/2025";"50"
"20";"17/08/2025";"50"
"21";"11/07/2023";"105"
"22";"29/07/2025";"50"
"23";"05/06/2023";"50"
"24";"27/07/2023";"100"
"25";"10/07/2024";"50"
"26";"11/10/2023";"100"
"27";"04/04/2024";"100"
"28";"05/11/2024";"50"
"29";"30/10/2024";"50"
"30";"23/12/2024";"100"
"31";"07/12/2025";"100"
"32";"23/05/2025";"100"
"33";"09/10/2023";"100"
"34";"17/10/2024";"50"
"35";"29/08/2023";"100"
"36";"22/04/2024";"50"
"37";"30/06/2025";"50"
"38";"21/11/2024";"50"
"39";"25/02/2025";"50"
"40";"12/05/2025";"25"
"41";"25/10/2025";"100"
"42";"16/08/2023";"100"
"43";"12/03/2024";"200"
"44";"28/05/2024";"50"
"45";"14/05/2024";"50"
"46";"03/07/2024";"100"
"47";"06/12/2024";"100"
"48";"17/03/2025";"50"
"49";"27/09/2025";"50"
"50";"27/05/2025";"100"
"51";"30/08/2025";"50"
"52";"24/12/2023";"30"
"53";"14/01/2025";"50"
"54";"10/07/2025";"50"
"55";"12/10/2025";"50"
"56";"23/08/2025";"50"
"57";"06/01/2023";"100"
"58";"22/06/2023";"100"
"59";"17/08/2023";"50"
"60";"06/11/2023";"100"
"61";"01/03/2023";"30"
"62";"04/08/2023";"100"
"63";"18/05/2023";"50"
"64";"24/04/2023";"100"
"65";"25/09/2024";"100"
"66";"26/09/2024";"50"
"67";"06/05/2025";"50"
"68";"19/05/2025";"50"
"69";"19/12/2023";"100"
"70";"23/05/2024";"50"
"71";"10/02/2025";"50"
"72";"27/01/2025";"100"
"73";"19/10/2025";"100"
"74";"19/01/2023";"30"
"75";"20/07/2023";"200"
"76";"12/09/2023";"200"
"77";"10/06/2024";"50"
"78";"06/05/2024";"50"
"79";"16/06/2025";"50"
"80";"13/09/2025";"100"
"81";"30/07/2025";"100"
"82";"15/02/2023";"125"
"83";"09/03/2023";"30"
"84";"24/10/2024";"50"
"85";"28/11/2023";"100"
"86";"25/07/2024";"50"
"87";"18/06/2025";"50"
"88";"17/09/2024";"50"
"89";"05/08/2024";"100"
"90";"03/08/2025";"50"
"91";"07/07/2025";"50"
"92";"31/05/2023";"50"
"93";"13/12/2023";"100"
"94";"20/03/2024";"100"
"95";"03/10/2024";"50"
"96";"26/11/2024";"50"
"97";"27/11/2024";"50"
"98";"13/03/2023";"30"
"99";"22/08/2024";"50"
"100";"27/03/2025";"100"
"101";"12/06/2024";"50"
"102";"29/04/2025";"25"
"103";"06/04/2023";"50"
"104";"19/04/2023";"100"
"105";"01/07/2024";"100"
"106";"02/06/2025";"50"
"107";"25/01/2023";"75"
"108";"08/08/2024";"50"
"109";"16/03/2023";"100"
"110";"12/04/2023";"100"
"111";"20/12/2023";"50"
"112";"04/01/2023";"20"
"113";"05/09/2024";"50"
"114";"31/03/2025";"50"
"115";"16/08/2025";"50"
"116";"25/04/2023";"10"
"117";"06/02/2024";"100"
"118";"18/03/2025";"50"
"119";"09/04/2025";"50"
"120";"26/10/2025";"100"
"121";"17/02/2025";"100"
"122";"22/01/2023";"30"
"123";"08/11/2023";"200"
"124";"29/02/2024";"100"
"125";"29/01/2024";"200"
"126";"21/03/2024";"100"
"127";"18/02/2025";"50"
"128";"28/02/2025";"50"
"129";"30/04/2025";"50"
"130";"17/05/2023";"50"
"131";"15/05/2024";"100"
"132";"28/01/2025";"50"
"133";"11/01/2023";"50"
"134";"13/09/2024";"50"
"135";"08/02/2023";"60"
